Campo;api_access_token;account_id;name;category;lang;apps;type;file;header;header_var;body;body_var;footer;security;expiration;buttons;Código HTTP Esperado;Prioridad;id_caso;ultimo_resultado;ultima_ejecucion
¿Requerido?;Sí;Sí;Sí;Sí;Sí;Sí;No;Condicional;Condicional;Condicional;Condicional;Condicional;No;Condicional;No;No;;;;;
Tipo Validación;Cruzada;Cruzada;Cruzada;Cruzada;Independiente;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;Cruzada;;;;;
Tipo de Dato;String;Integer;String;String;String;Array;String;File;String;String;String;Array;String;String;Integer;Array;;;;;
1;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(arreglo con un elemento correspondiente a una variable de body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);200;alto;V1;PASSED;2026-08-25
2;(token válido correspondiente a la sesión);65;(nombre único de longitud mínima, 3 caracteres);UTILITY;es_MX;(arreglo con múltiples UUID válidos de apps existentes de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico con variables secuenciales {{1}} a {{3}});(arreglo con tres elementos, valores típicos);(longitud mínima, 1 carácter);(ausente);(ausente);(arreglo con un botón QUICK_REPLY válido);200;alto;V2;PASSED;2026-08-25
3;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único de longitud máxima, 179 caracteres);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(longitud mínima, 1 carácter);(elemento de longitud mínima, 1 carácter);(longitud máxima, 60 caracteres);(ausente);(ausente);(arreglo con botones agrupados por tipo, cantidad típica);200;alto;V3;PASSED;2026-08-25
4;(token válido correspondiente a la sesión);65;(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);UTILITY;es_MX;(arreglo con múltiples UUID válidos de apps existentes de la cuenta);(ausente);(ausente);(ausente);(ausente);(longitud máxima, 1024 caracteres);(elemento de longitud máxima, 1024 caracteres);(ausente);(ausente);(ausente);(arreglo con el máximo de 10 botones en total);200;alto;V4;PASSED;2026-08-25
5;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único de longitud mínima, 3 caracteres);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto con el máximo de 10 variables secuenciales);(ausente);(cadena que alterna entre mayúsculas y minúsculas);(ausente);(ausente);(arreglo con botones QUICK_REPLY, URL y PHONE_NUMBER agrupados por tipo, dentro de límites);200;alto;V5;PASSED;2026-08-25
6;(token válido correspondiente a la sesión);65;(nombre único de longitud máxima, 179 caracteres);UTILITY;es_MX;(arreglo con múltiples UUID válidos de apps existentes de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto con el mínimo de variables, 1 variable {{1}});(arreglo con exactamente 1 elemento, límite mínimo de variables);(cadena de solo números);(ausente);(ausente);(arreglo con botones QUICK_REPLY y PHONE_NUMBER agrupados por tipo, dentro de límites);200;alto;V6;PASSED;2026-08-25
7;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(arreglo con un elemento correspondiente a una variable de body);(cadena de caracteres especiales);(ausente);(ausente);(arreglo con botones URL y PHONE_NUMBER agrupados por tipo, dentro de límites);200;alto;V7;PASSED;2026-08-25
